key,LSTMCellDiversity,BasicRNNCell,LSTMCell,GRUCell,GRU4Rec,DBAM
1.0,1323.5,1646.25,1401.0,1561.25,2133.75,1265.75
2.0,1288.0,1757.5,1720.25,1651.25,2056.5,1250.25
3.0,1266.0,1763.5,1766.75,1636.75,2009.5,1223.75
4.0,1248.0,1725.0,1781.0,1670.0,1988.0,1248.5
5.0,1257.25,1707.25,1781.75,1626.0,1977.0,1218.25
6.0,1240.5,1727.75,1751.5,1632.25,1986.25,1220.25
7.0,1213.0,1692.75,1756.75,1622.75,1978.25,1231.75
8.0,1216.25,1687.5,1739.0,1622.5,1974.75,1215.25
9.0,1197.5,1679.75,1690.0,1605.25,1953.5,1230.25
10.0,1209.25,1669.25,1663.5,1597.0,1957.75,1194.75
11.0,1243.25,1659.25,1626.75,1588.0,1959.25,1212.75
12.0,1191.25,1631.5,1641.75,1568.0,1951.75,1190.0
13.0,1214.5,1651.0,1633.25,1540.75,1964.75,1213.0
14.0,1179.5,1670.0,1622.75,1547.5,1966.75,1197.0
15.0,1191.5,1642.25,1614.0,1558.0,1959.75,1202.25
16.0,1191.25,1643.25,1597.75,1559.25,1954.5,1196.25
17.0,1212.5,1647.75,1574.75,1547.25,1963.75,1189.0
18.0,1198.0,1651.25,1613.0,1564.75,1963.5,1200.5
19.0,1197.75,1631.5,1610.5,1535.5,1970.25,1199.75
20.0,1211.25,1638.5,1591.25,1533.5,1974.25,1187.5
21.0,1209.0,1624.5,1619.0,1519.5,1976.25,1223.25
22.0,1182.0,1610.0,1611.5,1504.25,1981.5,1224.5
23.0,1173.25,1614.75,1584.0,1522.0,1976.75,1191.25
24.0,1204.0,1624.0,1592.25,1558.0,1979.5,1190.25
25.0,1208.5,1599.25,1552.0,1513.25,1976.25,1200.5
26.0,1169.75,1600.0,1570.25,1531.75,1985.5,1199.0
27.0,1161.5,1596.75,1581.0,1508.5,1988.0,1195.75
28.0,1178.5,1618.5,1546.5,1499.5,1983.0,1192.0
29.0,1181.0,1599.5,1533.0,1488.0,1987.25,1212.75
30.0,1181.0,1599.25,1560.0,1481.0,1992.0,1212.5
31.0,1193.5,1582.75,1523.0,1501.0,1992.25,1192.75
32.0,1183.25,1603.5,1546.25,1491.0,1996.5,1189.5
33.0,1163.75,1581.25,1536.5,1489.5,1995.5,1187.0
34.0,1166.75,1593.75,1501.25,1484.25,2006.75,1162.5
35.0,1176.75,1582.5,1511.5,1473.5,2005.0,1170.0
36.0,1152.25,1578.75,1500.0,1481.75,2008.75,1178.25
37.0,1156.25,1582.5,1475.0,1477.25,2017.75,1158.5
38.0,1170.25,1574.5,1497.75,1495.5,2023.0,1166.25
39.0,1159.5,1559.25,1499.25,1473.25,2029.75,1170.5
40.0,1162.5,1576.5,1470.25,1477.0,2031.5,1189.75
41.0,1171.5,1564.75,1485.5,1462.25,2037.75,1183.25
42.0,1173.0,1570.0,1464.5,1467.75,2041.5,1163.0
43.0,1149.0,1562.75,1468.0,1463.5,2035.75,1177.5
44.0,1185.75,1552.5,1494.75,1445.75,2037.75,1167.75
45.0,1163.25,1541.5,1459.75,1439.5,2041.25,1167.25
46.0,1155.0,1545.5,1469.5,1455.0,2052.5,1165.75
47.0,1152.25,1525.75,1489.0,1431.25,2043.75,1169.75
48.0,1174.25,1541.0,1459.5,1419.25,2051.5,1163.5
49.0,1141.25,1531.0,1455.5,1431.5,2050.75,1170.0
