key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one
1,0.0,0.0,5.987011240271219e-05,1.0,21.0,1.0,9.04813376645571,-18.911705643838054,0.11580054989409588,0.0,0.0,6.28639624262048e-05
2,0.0,0.0,6.436859705808791e-05,1.0,20.75,1.0,9.047814695765673,-18.9087612254304,0.1354300467764822,0.0,0.0,7.99286266977985e-05
3,0.0,0.0,3.9843946969303155e-05,1.0,20.75,1.0,9.048534136962127,-18.888406827143267,0.17750954056460602,0.0,0.0,3.791574683590284e-05
4,0.0,0.0,0.00011584532387463703,1.0,20.25,1.0,9.047622155433476,-18.92282426403302,0.0822011639863016,0.0,0.0,8.879521603975457e-05
5,0.0,0.0,6.357500424275262e-05,1.0,20.75,1.0,9.050981361339069,-18.850778414042573,0.21999753604656125,0.0,0.0,4.431837935230666e-05
6,0.0,0.0,6.827333254940831e-05,1.0,20.25,1.0,9.048595091459966,-18.902127875621556,0.06863836339385984,0.0,0.0,7.788066654395654e-05
7,0.0,0.0,0.00022006717161077947,1.0,20.0,1.0,9.047068530018654,-18.925304712871203,0.03974382761041618,0.0,0.0,8.441937266323203e-05
8,0.0,0.0,0.0001872373670701442,1.0,20.0,1.0,9.142376759471205,-18.934588972383622,0.0361179106698577,0.0,0.0,0.00010529376471962071
9,0.0,0.0,0.0005662026475758259,1.0,20.0,1.0,9.047068530018654,-18.915740876042815,0.04572771243782815,0.0,0.0,8.337696096435943e-05
10,0.0,0.0,0.0001127832434165982,1.0,20.333333333333332,1.0,9.146694046985674,-18.863163965940853,0.3223276162005219,0.0,0.0,5.081913820807203e-05
11,0.0,0.0,9.670026618538139e-05,1.0,20.0,1.0,9.22728356724321,-18.877061821402012,0.07190519324578563,0.0,0.0,0.000246550531851651
12,0.0,0.0,0.0002823185128046215,1.0,20.0,1.0,9.142376759471205,-18.95839202679309,0.021042654231371055,0.0,0.0,5.797343566322458e-05
13,0.0,0.0,0.00018561037150474952,1.0,20.0,1.0,9.142376759471205,-18.959665639640658,0.020795104516306114,0.0,0.0,0.00022652285301589335
14,0.0,0.0,0.0009266218116740002,1.0,20.0,1.0,9.22728356724321,-18.959115314029777,0.02074951084208007,0.0,0.0,0.00010093726960137643
15,0.0,0.0,0.0002627176150279712,1.0,20.0,1.0,9.22728356724321,-18.940870251538392,0.030434343380336525,0.0,0.0,0.0003365309513764436
16,0.0,0.0,0.0008226124231748974,1.0,20.0,1.0,9.290294437588763,-18.96108829581855,0.019652159929749186,0.0,0.0,8.501663099762095e-05
17,0.0,0.0,0.00048623101779061485,1.0,20.0,1.0,9.22728356724321,-18.91168085759274,0.04643498325826567,0.0,0.0,0.00027517960801175863
19,0.0,0.0,0.00034792483220006163,1.0,20.0,1.0,9.22728356724321,-18.94914702479953,0.026071468920119856,0.0,0.0,3.645694561790145e-05
20,0.0,0.0,0.00018485663770202533,1.0,20.0,1.0,9.22728356724321,-18.952148743813943,0.024282437236324984,0.0,0.0,3.6461750461559576e-05
21,0.0,0.0,0.0003826350065621466,1.0,20.0,1.0,9.068417920412426,-18.9502305062278,0.025126255913814222,0.0,0.0,4.2384494546010046e-05
22,0.0,0.0,6.2760735391796e-05,1.0,20.0,1.0,9.290294437588763,-18.968755102040816,0.01579437479254778,0.0,0.0,3.591502534026996e-05
24,0.0,0.0,9.72798730377736e-05,1.0,20.0,1.0,9.290294437588763,-18.971224532661203,0.014588220580992382,0.0,0.0,3.591825006285694e-05
25,0.0,0.0,3.591180061768297e-05,1.0,20.0,1.0,9.290294437588763,-18.965682388690713,0.017309592180655562,0.0,0.0,3.591180061768297e-05
26,0.0,0.0,0.0009725012821543687,1.0,20.0,1.0,9.164272696897658,-18.9378515625,0.03137807246258534,0.0,0.0,7.811279487580065e-05
27,0.0,0.0,0.0006313239575654687,1.0,20.0,1.0,9.22728356724321,-18.947123602914957,0.026712010948550288,0.0,0.0,4.314490830024068e-05
28,0.0,0.0,0.0012012376398448281,1.0,20.0,1.0,9.164272696897658,-18.937069379907065,0.03177691961447783,0.0,0.0,3.7006883280290134e-05
33,0.0,0.0,0.00011230196922321409,1.0,20.0,1.0,9.290294437588763,-18.956470776280035,0.022008064648759113,0.0,0.0,5.377789728421619e-05
34,0.0,0.0,3.5920185348156394e-05,1.0,20.0,1.0,9.290294437588763,-18.970804498269896,0.014804192339710334,0.0,0.0,3.5920185348156394e-05
35,0.0,0.0,3.5920185348156394e-05,1.0,20.0,1.0,9.290294437588763,-18.970372020494544,0.015026655067999856,0.0,0.0,3.5920185348156394e-05
