"key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one"
1,0.0,0.0,8.397567368392215e-05,1.0,21,1.0,9.164479998417203,-18.926293071075282,0.055504002574002495,0.0,0.0,8.577484313166311e-05
2,0.0,0.0,9.991918363675655e-05,1.0,21,1.0,9.164929727749497,-18.896524558584687,0.14855262670176392,0.0,0.0,0.00012193013486470861
3,0.0,0.0,4.30174276520651e-05,1.0,21,1.0,9.165795565752791,-18.88729698052537,0.160004733756663,0.0,0.0,4.182420163813898e-05
4,0.0,0.0,0.00033947156413798805,1.0,20,1.0,9.164272696897656,-18.941749436318148,0.029712042913771483,0.0,0.0,0.00023716660746322314
5,0.0,0.0,0.00011053749554950962,1.0,21,1.0,9.166986583904436,-18.895363195506107,0.06610972278584934,0.0,0.0,5.991574609130838e-05
6,0.0,0.0,3.7018682333123804e-05,1.0,21,1.0,9.170378942662907,-18.77657381165432,0.187120314976474,0.0,0.0,3.699918141448008e-05
7,0.0,0.0,0.00018255927821048769,1.0,20,1.0,9.164272696897658,-18.912400578001403,0.04630104771789471,0.0,0.0,3.7000173953499186e-05
8,0.0,0.0,0.00010599436876166553,1.0,20,1.0,9.164272696897658,-18.857594676420963,0.08116810584001657,0.0,0.0,0.00010424907351690204
9,0.0,0.0,0.0020991738552217226,1.0,20,1.0,9.164272696897658,-18.864556252088086,0.07396345678555269,0.0,0.0,0.00022482745746045475
10,0.0,0.0,0.00026441579035991764,1.0,21,1.0,9.177224559441072,-18.640195353268187,0.9414117240397489,0.0,0.0,8.088481948403116e-05
11,0.0,0.0,3.700072162804544e-05,1.0,20,1.0,9.164272696897658,-18.78209428354991,0.12963574067918665,0.0,0.0,3.700072162804544e-05
12,0.0,0.0,5.732111438005137e-05,1.0,20,1.0,9.164272696897658,-18.955538965765847,0.02252487163798919,0.0,0.0,3.699901027964067e-05
13,0.0,0.0,3.699866804795027e-05,1.0,20,1.0,9.164272696897658,-18.95485938056248,0.022687320428844315,0.0,0.0,3.699866804795027e-05
14,0.0,0.0,0.0003660083780278062,1.0,20,1.0,9.164272696897658,-18.96083266887588,0.019964891782302412,0.0,0.0,0.00011849951835899764
15,0.0,0.0,0.0004895189150698599,1.0,20,1.0,9.164272696897658,-18.945216049382715,0.028131750748687033,0.0,0.0,0.0006371455877668047
17,0.0,0.0,0.000536637237150199,1.0,20,1.0,9.164272696897658,-18.944455465185477,0.028533128257515073,0.0,0.0,0.00011453441759248655
19,0.0,0.0,0.0006599378637824403,1.0,20,1.0,9.164272696897658,-18.932223543400713,0.03503081753573339,0.0,0.0,3.7002090618119924e-05
20,0.0,0.0,0.0003337963154155441,1.0,20,1.0,9.164272696897658,-18.941144004927075,0.029967619865288765,0.0,0.0,3.700654093461258e-05
21,0.0,0.0,0.0006701570327142134,1.0,20,1.0,9.164272696897658,-18.938235407584585,0.031182380131150163,0.0,0.0,3.700551382155941e-05
26,0.0,0.0,0.0009725012821543687,1.0,20,1.0,9.164272696897658,-18.9378515625,0.03137807246258534,0.0,0.0,7.811279487580065e-05
27,0.0,0.0,0.001071878666893213,1.0,20,1.0,9.164272696897658,-18.937462916815,0.031576236580292294,0.0,0.0,3.7006883280290134e-05
28,0.0,0.0,0.0012012376398448281,1.0,20,1.0,9.164272696897658,-18.937069379907065,0.03177691961447783,0.0,0.0,3.7006883280290134e-05
