key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one
1,1.3469827586206898e-05,7.527256592292089e-05,6.380404010838798e-05,0.9999655838752592,17928.75,0.9999566206248471,14.673471559265984,0.9844846096796636,0.3183129498097681,0.0,0.0,5.245021175455267e-05
2,2.009646302250804e-05,2.009646302250804e-05,4.968772217345039e-05,0.9999601099999409,8433.0,0.9999473995335102,14.681700890133593,0.9871645016762328,0.3368070369035674,0.0,0.0,4.7091038983805896e-05
3,0.0,0.0,5.65150680336212e-05,0.9999634490101121,4234.5,0.999741854528893,14.674633951721832,0.9916123462339019,0.35599950837081207,0.0,0.0,5.3930558207829807e-05
4,7.763975155279503e-05,4.4365572315882877e-05,5.4935161236871404e-05,0.9999275515029142,2442.5,0.9996411742394405,14.685084603417605,0.9598944174117277,0.377282587668844,0.0,0.0,5.03459654119308e-05
5,0.0,0.0,9.926171187376444e-05,0.9999626196172249,1437.75,0.9993653834860231,14.67428595254143,0.9900102285854337,0.4333139818084413,0.0,0.0,0.00014271150775985273
6,0.0,0.0,7.250903394484445e-05,0.9999577191472329,983.0,0.9993055555555556,14.71846175530422,0.998452927418478,0.3961614604552086,0.0,0.0,6.549530292369527e-05
7,0.0,0.0,7.433100753805233e-05,1.0,679.5,0.9996951219512196,14.714476225095595,0.999528178823162,0.3637453747845481,0.0,0.0,4.486436527641435e-05
8,0.0,0.0,8.77141881283897e-05,0.9999575551782682,508.0,1.0,14.674143363852984,0.9993921666203169,0.40392113939001034,0.0,0.0,6.888052747357784e-05
9,0.0,0.0,9.992784581576136e-05,0.9999517517415987,421.25,0.9994884883962319,14.609847909643815,0.9992888738448773,0.4241954918058736,0.0,0.0,6.571006618883461e-05
10,0.0,0.0,0.00010177037816189103,1.0,353.0,1.0,14.690237651230113,0.9990577764913108,0.46437584224181483,0.0,0.0,0.00010900421917160226
11,0.0,0.0,8.553395108148465e-05,1.0,283.0,0.99875,14.719901765317369,0.9985514401919405,0.5348095564816419,0.0,0.0,4.794464236408698e-05
12,0.0,0.0,8.585803286003184e-05,1.0,232.75,0.9991666666666666,14.602748036928414,0.9987262316678354,0.5243833469553192,0.0,0.0,4.624309590220085e-05
13,0.0,0.0,0.00011548435225844757,0.9998048004626952,199.5,1.0,14.75237186276571,0.9985332786810224,0.5114893868207311,0.0,0.0,0.00010997718640323392
14,0.0,0.0,0.0005462138629118858,1.0,213.0,1.0,14.618336322049323,0.9994650609072208,0.34026840947650877,0.0,0.0,0.0005126106813623503
15,0.0,0.0,8.387761000491391e-05,1.0,192.66666666666666,0.9984848484848484,14.548453084915451,0.9996673773242878,0.30907093908638594,0.0,0.0,8.119917566873045e-05
16,0.0,0.0,9.391350147585648e-05,1.0,153.33333333333334,0.9977891156462585,14.812084666655556,0.9995962521618574,0.3194296800785175,0.0,0.0,7.62128639078171e-05
17,0.0,0.0,7.856503261607167e-05,1.0,146.66666666666666,1.0,14.784174515338512,0.9998718546605071,0.2589815547154288,0.0,0.0,6.314576221636704e-05
18,0.0,0.0,5.8813128642329944e-05,0.9994203257716027,92.66666666666667,1.0,14.64344026797353,0.9999144396061892,0.23027303134756458,0.0,0.0,3.980708242421966e-05
19,0.0,0.0,9.435360685719459e-05,1.0,80.0,1.0,14.357115785881353,0.9999281118638351,0.21649837560570048,0.0,0.0,0.00010421546949549105
