"key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one"
1,0.0,0.0,7.594929896436833e-05,0.9999717414341223,11434,1.0,14.661632775488064,0.96075329893869,0.4564979992966573,0.0,0.0,8.006390197411879e-05
2,0.0,0.0,4.406938895012977e-05,0.9999775078722447,4288,1.0,14.676071572951848,0.9969362054762106,0.4501135931810392,0.0,0.0,4.4236849453972204e-05
3,0.0,0.0,5.826168928560117e-05,0.9999538319482918,2191,0.999561403508772,14.669630847726461,0.9937741180444635,0.4955533229774815,0.0,0.0,5.851144668213351e-05
4,0.0,0.0,4.899295890460049e-05,0.9999308210762953,1192,0.9991803278688525,14.701280291006848,0.9843869490748113,0.6210517683355352,0.0,0.0,5.2349714324740766e-05
5,0.0,0.0,5.675595108769247e-05,1.0,712,0.9986111111111112,14.640199760503224,0.9617445756132567,0.7895149987082108,0.0,0.0,5.0790209528310914e-05
6,0.0,0.0,7.437391354968047e-05,1.0,357,0.9972222222222222,14.718927470940656,0.9952833684608097,0.6568448472487801,0.0,0.0,9.059164414964777e-05
7,0.0,0.0,5.7307411734458856e-05,1.0,219,1.0,14.747334441940302,0.9992112353850665,0.48705190059019715,0.0,0.0,3.98465749830642e-05
8,0.0,0.0,8.9897019442577e-05,1.0,160,1.0,14.574851125819553,0.998971083547451,0.5327516176072453,0.0,0.0,5.846931607282223e-05
9,0.0,0.0,5.7852179326015735e-05,1.0,100,1.0,14.5845251657199,0.9986188039337855,0.5904069520747353,0.0,0.0,9.920157864495201e-05
10,0.0,0.0,9.321402814018433e-05,1.0,60,1.0,14.745539142841936,0.9978118640733472,0.7332751056180843,0.0,0.0,0.00010528710080998979
11,0.0,0.0,6.5872193799668e-05,1.0,40,1.0,14.898705063594674,0.9958312378222942,0.9886313440862834,0.0,0.0,3.7112636865627644e-05
12,0.0,0.0,6.41291923745192e-05,1.0,40,1.0,14.401204032015254,0.9966424072381408,0.9412785567334442,0.0,0.0,3.7112636865627644e-05
13,0.0,0.0,0.00018918312999816595,1.0,40,1.0,14.88736143460725,0.9954657929483104,1.037852256276997,0.0,0.0,0.00018918312999816595
