key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one
1,0.0,0.0,5.7440492434140135e-05,1.0,21.25,0.9999771358694876,9.048187347660347,-18.914641260816914,0.1284453778345344,0.0,0.0,5.850515096014679e-05
2,0.0,0.0,5.87532857289676e-05,1.0,21.25,0.9999290876306814,9.048400323074148,-18.909998764336528,0.15052590511047448,0.0,0.0,5.66064279495929e-05
3,0.0,0.0,7.073689727128533e-05,1.0,21.25,0.9999580403267359,9.048522436040969,-18.904721982808926,0.17514672324613523,0.0,0.0,6.876478029018871e-05
4,0.0,0.0,7.697510772427644e-05,1.0,21.0,1.0,9.048780552693216,-18.89531273975514,0.19326533090715553,0.0,0.0,6.132142224706399e-05
5,0.0,0.0,9.708459402462594e-05,1.0,21.0,1.0,9.049486346490944,-18.878426554226397,0.24726292947437778,0.0,0.0,7.043995110157205e-05
6,0.0,0.0,0.00013128984798505827,1.0,20.75,1.0,9.048955860562346,-18.889872355658277,0.23058695229340362,0.0,0.0,9.897199972930457e-05
7,0.0,0.0,0.00012057935878140592,1.0,20.5,1.0,9.048923932321252,-18.906660807047956,0.19001736582679407,0.0,0.0,7.344138765692202e-05
8,0.0,0.0,0.00015358268868788329,1.0,20.5,1.0,9.049009476915499,-18.897462220985656,0.21920399679542665,0.0,0.0,9.367878793113237e-05
9,0.0,0.0,0.00016128373891655297,1.0,20.5,1.0,9.049389434447942,-18.88653549495377,0.2594784771383419,0.0,0.0,5.78326338150414e-05
10,0.0,0.0,0.00020721559084199345,1.0,20.5,1.0,9.048670341274413,-18.878795834764613,0.25764779925189457,0.0,0.0,0.0001836669405054915
11,0.0,0.0,0.00018767162901876908,1.0,20.5,1.0,9.048585090780959,-18.89131100465059,0.19445426941371943,0.0,0.0,5.573633594608188e-05
12,0.0,0.0,0.0002401713581649196,1.0,20.5,1.0,9.048809058179545,-18.88534363415554,0.21762026118295066,0.0,0.0,0.00013980386592994697
13,0.0,0.0,0.0003213088745638821,1.0,20.5,1.0,9.049178618923559,-18.8751976169751,0.2606721438024888,0.0,0.0,0.0004761022464181118
14,0.0,0.0,0.0001665404185893691,1.0,20.666666666666668,1.0,9.14401905901183,-18.890066856319496,0.2988997415234123,0.0,0.0,6.615348031921084e-05
15,0.0,0.0,0.00018321600557030414,1.0,20.666666666666668,1.0,9.144183753189955,-18.88198924747817,0.3396105373811516,0.0,0.0,0.00011594801085759833
16,0.0,0.0,0.00022773499886386957,1.0,20.333333333333332,1.0,9.142661244654661,-18.904771450537147,0.23898372002575707,0.0,0.0,0.00012406553227308737
17,0.0,0.0,0.00018752473588790934,1.0,20.333333333333332,1.0,9.142732365950527,-18.884988841605523,0.2994867298297002,0.0,0.0,0.00011498438659599869
18,0.0,0.0,0.000277036930689641,1.0,20.333333333333332,1.0,9.142850901443637,-18.853160383832762,0.3998893866668423,0.0,0.0,0.0008358684798523941
19,0.0,0.0,0.0003135730716699423,1.0,20.0,1.0,9.142376759471205,-18.960935627795727,0.01970379752804768,0.0,0.0,0.00043395296494182066
20,0.0,0.0,0.0002695873840288473,1.0,20.0,1.0,9.142376759471205,-18.960899481716066,0.019722190786300522,0.0,0.0,0.00017762060448344973
21,0.0,0.0,0.00017835378211266477,1.0,20.0,1.0,9.142376759471205,-18.96023748341657,0.02004944199301059,0.0,0.0,6.0681129185493226e-05
22,0.0,0.0,0.0002865928506534964,1.0,20.0,1.0,9.142376759471205,-18.95500670933362,0.022673964963783,0.0,0.0,6.612393822462296e-05
23,0.0,0.0,0.00031832585793976643,1.0,20.0,1.0,9.142376759471205,-18.95811165135055,0.021087989484737796,0.0,0.0,9.115086202679338e-05
24,0.0,0.0,0.0003377927503893159,1.0,20.0,1.0,9.142376759471205,-18.958082515488524,0.021102755661039033,0.0,0.0,3.619732225592378e-05
25,0.0,0.0,0.0003648047763860298,1.0,20.0,1.0,9.142376759471205,-18.958053336944985,0.021117543594963317,0.0,0.0,0.00021688059110924087
26,0.0,0.0,0.0003922140242475138,1.0,20.0,1.0,9.142376759471205,-18.95769213044601,0.021298962036792147,0.0,0.0,9.489786385957625e-05
27,0.0,0.0,0.00042550227192463897,1.0,20.0,1.0,9.142376759471205,-18.9576617785455,0.021314339905479696,0.0,0.0,9.170914562237893e-05
28,0.0,0.0,0.0004618991771705278,1.0,20.0,1.0,9.142376759471205,-18.9576313800132,0.021329741521662796,0.0,0.0,4.8073521247199244e-05
29,0.0,0.0,0.0005174500530535519,1.0,20.0,1.0,9.142376759471205,-18.95760093472964,0.021345166946354837,0.0,0.0,4.005458198477342e-05
30,0.0,0.0,0.0005952467161150179,1.0,20.0,1.0,9.142376759471205,-18.957570442574887,0.02136061624080821,0.0,0.0,0.0030903361456725027
31,0.0,0.0,9.391005526114252e-05,1.0,20.0,1.0,9.142376759471205,-18.95753990342855,0.021376089466515247,0.0,0.0,0.0002749306756056818
32,0.0,0.0,6.75434752518523e-05,1.0,20.0,1.0,9.142376759471205,-18.957509317169755,0.02139158668520948,0.0,0.0,7.277020403022025e-05
33,0.0,0.0,5.153976411176956e-05,1.0,20.0,1.0,9.142376759471205,-18.957478683677152,0.021407107958867175,0.0,0.0,3.917675700076615e-05
34,0.0,0.0,5.4795133523079013e-05,1.0,20.0,1.0,9.142376759471205,-18.957448002828915,0.021422653349708328,0.0,0.0,6.96848615485221e-05
35,0.0,0.0,5.4009901958417314e-05,1.0,20.0,1.0,9.142376759471205,-18.957417274502742,0.02143822292019869,0.0,0.0,4.436179208746087e-05
36,0.0,0.0,7.551573753563442e-05,1.0,20.0,1.0,9.290294437588763,-18.983218036917947,0.00840614910784976,0.0,0.0,9.531157782259305e-05
37,0.0,0.0,3.592437967152727e-05,1.0,20.0,1.0,9.290294437588763,-18.98320009440544,0.008415153910506814,0.0,0.0,3.592437967152727e-05
38,0.0,0.0,3.592857399489814e-05,1.0,20.0,1.0,9.290294437588763,-18.983634521077708,0.008196170231976536,0.0,0.0,3.592857399489814e-05
