key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one
1,0.0,0.0,4.503485888774269e-05,0.9999783548731271,16705.0,1.0,14.67727133516786,0.9947556622101034,0.32415066658796,0.0,0.0,7.217099760794842e-05
2,0.0001179245283018868,0.0002358490566037736,0.0001268669814817118,0.9999795182318026,7281.0,0.9995802157073933,14.69123748990273,0.9866140218836366,0.36847316208741937,0.0,0.0,7.907810566909693e-05
3,0.0,0.0,4.5099136665458304e-05,1.0,3813.0,1.0,14.648825337855422,0.9983995369245474,0.3593270406985464,0.0,0.0,4.418448055696276e-05
4,0.0,0.0,0.00019036170268148575,0.999906846762925,2155.0,0.9996288498850304,14.631084260208183,0.8225907979302969,0.32051459544275973,0.0,0.0,0.0002838824012767618
5,0.0,0.0,6.023724375446695e-05,0.9997534049974163,1255.0,1.0,14.72445726464354,0.9977725708079042,0.39814336177898724,0.0,0.0,5.3851631779904796e-05
6,0.0,0.0,6.380800009353912e-05,0.9998776009791922,844.0,0.9988372093023257,14.632115185042196,0.9971320521482585,0.4299300256834088,0.0,0.0,7.09673084748741e-05
7,0.0,0.0,0.00014620249372352683,0.9999833481053377,597.0,1.0,14.672923494656496,0.9994650787583866,0.3851406130383482,0.0,0.0,5.0190589500861725e-05
8,0.0,0.0,5.086043495907573e-05,1.0,418.0,1.0,14.619230324114183,0.9994858508413671,0.3830533646991803,0.0,0.0,4.5182659311597724e-05
9,0.0,0.0,8.068904948476804e-05,0.9998105441238049,416.0,1.0,14.677680046559695,0.999388379019266,0.4132568166785947,0.0,0.0,5.494421963234969e-05
10,0.0,0.0,0.00012208531281176815,1.0,335.0,1.0,14.835787044737188,0.9994465856804355,0.3759688133634286,0.0,0.0,0.0002581099422461829
11,0.0,0.0,0.00017389920107490367,1.0,277.0,1.0,14.754430926068965,0.9988742655516081,0.4907702173533834,0.0,0.0,6.328852406970259e-05
12,0.0,0.0,6.771897274931617e-05,1.0,239.0,1.0,14.59918970639562,0.9993248599392013,0.40851857964759,0.0,0.0,5.410703701856599e-05
13,0.0,0.0,8.196489195656907e-05,1.0,199.0,1.0,14.834666693777262,0.9997626972113103,0.310776583276537,0.0,0.0,4.134252210738726e-05
14,0.0,0.0,4.997618132607813e-05,1.0,180.0,1.0,14.713306855173755,0.9998356413232936,0.2953759197095084,0.0,0.0,4.350513168801899e-05
15,0.0,0.0,6.473374996570712e-05,1.0,140.0,1.0,14.702987007367591,0.9996461277779675,0.38122578840089055,0.0,0.0,3.70016017410419e-05
16,0.0,0.0,0.00019393583687328294,1.0,100.0,1.0,14.503144797326263,0.9998584934466093,0.28780995795773284,0.0,0.0,5.401132880550509e-05
17,0.0,0.0,7.635076957376966e-05,1.0,60.0,0.9845238095238095,14.487998350863577,0.9999032764339066,0.25235906576708056,0.0,0.0,0.00010802246065393258
18,0.0,0.0,4.205793101967891e-05,1.0,40.0,1.0,14.70690457913539,0.9998175847918354,0.3317863140609921,0.0,0.0,3.7004486949205026e-05
19,0.0,0.0,7.83956308385281e-05,1.0,20.0,1.0,14.877286184535137,0.999710949242687,0.40015773897021906,0.0,0.0,3.7002090618119924e-05
20,0.0,0.0,0.00018650694041255563,1.0,40.0,1.0,14.59478017467265,0.9998142060995794,0.3039903579324158,0.0,0.0,0.00018084041924844204
21,0.0,0.0,3.700756804766575e-05,1.0,20.0,1.0,14.831244964463298,0.999756886579747,0.37080855013431513,0.0,0.0,3.700756804766575e-05
22,0.0,0.0,0.00011557779108691576,1.0,20.0,1.0,15.00051959788531,0.9999333006149519,0.21782415059976823,0.0,0.0,3.700551382155941e-05
23,0.0,0.0,9.853228007293739e-05,1.0,20.0,1.0,15.299627227798059,0.9999414288554456,0.19875645648991624,0.0,0.0,3.700551382155941e-05
29,0.0,0.0,9.117399307443034e-05,1.0,20.0,1.0,14.320730807936068,0.9999537190082645,0.18271756852838877,0.0,0.0,4.119803897334487e-05
33,0.0,0.0,6.393033444535095e-05,1.0,20.0,1.0,14.734914273390467,0.9999196887566744,0.2280866544380893,0.0,0.0,3.700962250185048e-05
