key,LSTMCellDiversity,BasicRNNCell,LSTMCell,GRUCell,GRU4Rec,DBAM
1.0,4968.0,7548.0,12059.0,6761.0,17541.0,10959.0
2.0,4973.0,7822.0,11535.0,6922.0,15724.0,10337.0
3.0,4738.0,7093.0,11322.0,6797.0,14473.0,9981.0
4.0,4294.0,6558.0,10779.0,6488.0,13431.0,9670.0
5.0,3935.0,6116.0,10352.0,6189.0,12515.0,9387.0
6.0,3730.0,5623.0,9951.0,5869.0,11527.0,8934.0
7.0,3475.0,5242.0,9506.0,5576.0,10695.0,8710.0
8.0,3164.0,4949.0,9233.0,5326.0,10064.0,8367.0
9.0,2987.0,4622.0,8917.0,4979.0,9258.0,7981.0
10.0,2908.0,4282.0,8284.0,4662.0,8465.0,7525.0
11.0,2605.0,3913.0,8095.0,4417.0,7822.0,7387.0
12.0,2596.0,3726.0,7818.0,4174.0,7352.0,7198.0
13.0,2327.0,3633.0,7632.0,3861.0,6751.0,6918.0
14.0,2209.0,3391.0,7114.0,3659.0,6215.0,6515.0
15.0,2020.0,2936.0,6757.0,3463.0,5751.0,6097.0
16.0,1914.0,2884.0,6464.0,3339.0,5419.0,5928.0
17.0,1931.0,2675.0,6182.0,3054.0,4917.0,5509.0
18.0,1792.0,2519.0,5955.0,2859.0,4579.0,5363.0
19.0,1675.0,2338.0,5682.0,2775.0,4439.0,5033.0
20.0,1591.0,2200.0,5349.0,2672.0,4222.0,5081.0
21.0,1474.0,2191.0,5259.0,2519.0,4059.0,4782.0
22.0,1390.0,1788.0,5031.0,2391.0,3865.0,4691.0
23.0,1385.0,1828.0,4834.0,2197.0,3669.0,4294.0
24.0,1332.0,1697.0,4434.0,2017.0,3500.0,4112.0
25.0,1271.0,1659.0,4454.0,1953.0,3449.0,4030.0
26.0,1302.0,1503.0,4300.0,1808.0,3361.0,4026.0
27.0,1056.0,1402.0,4198.0,1643.0,3189.0,3788.0
28.0,1156.0,1467.0,4111.0,1603.0,3169.0,3757.0
29.0,1032.0,1372.0,3931.0,1514.0,3070.0,3627.0
30.0,1108.0,1248.0,3857.0,1448.0,3051.0,3601.0
31.0,914.0,1247.0,3811.0,1389.0,3024.0,3497.0
32.0,918.0,1216.0,3657.0,1383.0,2991.0,3298.0
33.0,861.0,1067.0,3429.0,1310.0,2854.0,3214.0
34.0,872.0,1158.0,3572.0,1189.0,2757.0,3167.0
35.0,859.0,791.0,3257.0,1147.0,2742.0,3002.0
36.0,791.0,950.0,3259.0,1043.0,2641.0,2873.0
37.0,743.0,812.0,3261.0,988.0,2598.0,2786.0
38.0,674.0,961.0,3147.0,943.0,2557.0,2775.0
39.0,668.0,852.0,3066.0,926.0,2544.0,2661.0
40.0,734.0,772.0,2966.0,920.0,2508.0,2648.0
41.0,697.0,831.0,2807.0,894.0,2516.0,2537.0
42.0,583.0,613.0,2839.0,859.0,2476.0,2566.0
43.0,654.0,710.0,2853.0,840.0,2466.0,2473.0
44.0,563.0,684.0,2722.0,797.0,2433.0,2445.0
45.0,633.0,768.0,2635.0,776.0,2443.0,2459.0
46.0,612.0,657.0,2641.0,718.0,2404.0,2338.0
47.0,559.0,475.0,2611.0,721.0,2375.0,2341.0
48.0,555.0,560.0,2552.0,717.0,2361.0,2260.0
49.0,458.0,541.0,2472.0,691.0,2343.0,2291.0
